Saison;DateMatch;Journee;Equipe;Competition;Lieu;Score
1970-71;;;Association des Douanes Marocaines;Championnat;Domicile;1-0
1970-71;;;Mouloudia Club Oujda;Championnat;Domicile;0-0
1970-71;;;Kawkab Athletic Club de Marrakech;Championnat;Domicile;0-0
1970-71;;;Tihad Athletic Sport;Championnat;Domicile;0-0
1970-71;;;Moghreb Athletic de Tetouan;Championnat;Domicile;0-0
1970-71;;;Fath Union Sport;Championnat;Exterieur;3-2
1970-71;;;Maghreb Association Sportive;Championnat;Exterieur;0-0
1970-71;;;Kenitra Athletic Club;Championnat;Exterieur;0-1
1970-71;;;Raja Club Athletic;Championnat;Exterieur;0-0
1970-71;;;Association des Douanes Marocaines;Championnat;Exterieur;2-0
1970-71;;;Mouloudia Club Oujda;Championnat;Exterieur;0-2
1970-71;;;Kawkab Athletic Club de Marrakech;Championnat;Exterieur;0-0
1970-71;;;Tihad Athletic Sport;Championnat;Exterieur;1-0
1970-71;;;Moghreb Athletic de Tetouan;Championnat;Exterieur;1-1
1971-72;;;Association des Douanes Marocaines (Casablanca);Championnat;Exterieur;2-0
1971-72;;;Association des Douanes Marocaines (Casablanca);Championnat;Domicile;1-1
1971-72;;;Maghreb Association Sportive (Fu00e8s);Championnat;Domicile;0-1
1971-72;;;AS Forces Armu00e9es Royales (Rabat);Championnat;Domicile;2-1
1971-72;;;Difaa Hassani Jadidi;Championnat;Domicile;2-2
1971-72;;;Renaissance Sportive de Settat;Championnat;Domicile;1-0
1971-72;;;Ku00e9nitra Athletic Club;Championnat;Domicile;0-1
1971-72;;;Mouloudia Club Oujda;Championnat;Domicile;3-1
1971-72;;;Fath Union Sport (Rabat);Championnat;Domicile;1-1
1971-72;;;Raja Club Athletic (Casablanca);Championnat;Domicile;1-1
1971-72;;;Sporting Club Chabab de Mohammu00e9dia;Championnat;Domicile;0-0
1971-72;;;Raja Beni Mellal;Championnat;Domicile;5-3
1971-72;;;Union Sidi Kacem;Championnat;Domicile;1-0
1971-72;;;Youssoufia Club de Rabat;Championnat;Domicile;2-1
1971-72;;;Hassania Union Sport d'Agadir;Championnat;Domicile;1-1
1971-72;;;Kawkab Athletic Club de Marrakech;Championnat;Domicile;2-0
1971-72;;;Maghreb Association Sportive (Fu00e8s);Championnat;Exterieur;1-1
1971-72;;;AS Forces Armu00e9es Royales (Rabat);Championnat;Exterieur;0-0
1971-72;;;Difaa Hassani Jadidi;Championnat;Exterieur;0-1
1971-72;;;Renaissance Sportive de Settat;Championnat;Exterieur;2-1
1971-72;;;Ku00e9nitra Athletic Club;Championnat;Exterieur;2-0
1971-72;;;Mouloudia Club Oujda;Championnat;Exterieur;1-3
1971-72;;;Fath Union Sport (Rabat);Championnat;Exterieur;1-0
1971-72;;;Raja Club Athletic (Casablanca);Championnat;Exterieur;0-0
1971-72;;;Sporting Club Chabab de Mohammu00e9dia;Championnat;Exterieur;4-2
1971-72;;;Raja Beni Mellal;Championnat;Exterieur;1-1
1971-72;;;Union Sidi Kacem;Championnat;Exterieur;0-1
1971-72;;;Youssoufia Club de Rabat;Championnat;Exterieur;1-1
1971-72;;;Hassania Union Sport d'Agadir;Championnat;Exterieur;2-1
1971-72;;;Kawkab Athletic Club de Marrakech;Championnat;Exterieur;0-0
1972-73;;;Ku00e9nitra Athletic Club;Championnat;Exterieur;0-2
1972-73;;;Maghreb Association Sportive (Fu00e8s);Championnat;Exterieur;0-1
1972-73;;;Raja Club Athletic (Casablanca);Championnat;Exterieur;0-1
1972-73;;;Difaa Hassani Jadidi;Championnat;Exterieur;0-1
1972-73;;;Renaissance Sportive de Settat;Championnat;Exterieur;0-0
1972-73;;;Tihad Athlu00e9tique Sport (Casablanca);Championnat;Exterieur;1-0
1972-73;;;Fath Union Sport (Rabat);Championnat;Exterieur;0-1
1972-73;;;Mouloudia Club Oujda;Championnat;Exterieur;0-1
1972-73;;;Ku00e9nitra Athletic Club;Championnat;Domicile;2-0
1972-73;;;Maghreb Association Sportive (Fu00e8s);Championnat;Domicile;1-0
1972-73;;;Raja Club Athletic (Casablanca);Championnat;Domicile;1-0
1972-73;;;Difaa Hassani Jadidi;Championnat;Domicile;0-0
1972-73;;;Renaissance Sportive de Settat;Championnat;Domicile;4-1
1972-73;;;Tihad Athlu00e9tique Sport (Casablanca);Championnat;Domicile;1-1
1972-73;;;Fath Union Sport (Rabat);Championnat;Domicile;1-0
1972-73;;;Mouloudia Club Oujda;Championnat;Domicile;2-0
1972-73;;;Ittihad Zemmouri de Khu00e9misset;Championnat;Domicile;2-2
1972-73;;;Sporting Club Chabab de Mohammu00e9dia;Championnat;Domicile;1-1
1972-73;;;AS Forces Armu00e9es Royales (Rabat);Championnat;Domicile;1-2
1972-73;;;Union Sidi Kacem;Championnat;Domicile;1-1
1972-73;;;Raja Beni Mellal;Championnat;Domicile;1-1
1972-73;;;Association des Douanes Marocaines (Casablanca);Championnat;Domicile;0-1
1972-73;;;Youssoufia Club de Rabat;Championnat;Domicile;3-1
1972-73;;;Ittihad Zemmouri de Khu00e9misset;Championnat;Exterieur;0-0
1972-73;;;Sporting Club Chabab de Mohammu00e9dia;Championnat;Exterieur;0-0
1972-73;;;AS Forces Armu00e9es Royales (Rabat);Championnat;Exterieur;0-0
1972-73;;;Union Sidi Kacem;Championnat;Exterieur;2-1
1972-73;;;Raja Beni Mellal;Championnat;Exterieur;0-0
1972-73;;;Association des Douanes Marocaines (Casablanca);Championnat;Exterieur;1-2
1972-73;;;Youssoufia Club de Rabat;Championnat;Exterieur;1-1
1973-74;;;Raja Beni Mellal;Championnat;Exterieur;0-0
1973-74;;;Raja Club Athletic (Casablanca);Championnat;Exterieur;0-1
1973-74;;;Difaa Hassani Jadidi;Championnat;Exterieur;1-1
1973-74;;;Mouloudia Club Oujda;Championnat;Exterieur;0-1
1973-74;;;Raja Beni Mellal;Championnat;Domicile;0-1
1973-74;;;Raja Club Athletic (Casablanca);Championnat;Domicile;0-0
1973-74;;;Difaa Hassani Jadidi;Championnat;Domicile;1-0
1973-74;;;Mouloudia Club Oujda;Championnat;Domicile;1-0
1973-74;;;Union Sidi Kacem;Championnat;Domicile;2-0
1973-74;;;Sporting Club Chabab de Mohammu00e9dia;Championnat;Domicile;1-1
1973-74;;;Tihad Athlu00e9tique Sport (Casablanca);Championnat;Domicile;1-3
1973-74;;;AS Forces Armu00e9es Royales (Rabat);Championnat;Domicile;2-2
1973-74;;;Fath Union Sport (Rabat);Championnat;Domicile;0-0
1973-74;;;Maghreb Association Sportive (Fu00e8s);Championnat;Domicile;1-0
1973-74;;;Renaissance Sportive de Settat;Championnat;Domicile;0-0
1973-74;;;Kawkab Athlu00e9tique Club de Marrakech;Championnat;Domicile;0-0
1973-74;;;Association Sportive de Salu00e9;Championnat;Domicile;1-0
1973-74;;;Ittihad Zemmouri de Khu00e9misset;Championnat;Domicile;0-0
1973-74;;;Ku00e9nitra Athletic Club;Championnat;Domicile;2-2
1973-74;;;Union Sidi Kacem;Championnat;Exterieur;0-0
1973-74;;;Sporting Club Chabab de Mohammu00e9dia;Championnat;Exterieur;0-1
1973-74;;;Tihad Athlu00e9tique Sport (Casablanca);Championnat;Exterieur;1-1
1973-74;;;AS Forces Armu00e9es Royales (Rabat);Championnat;Exterieur;1-1
1973-74;;;Fath Union Sport (Rabat);Championnat;Exterieur;1-1
1973-74;;;Maghreb Association Sportive (Fu00e8s);Championnat;Exterieur;0-0
1973-74;;;Renaissance Sportive de Settat;Championnat;Exterieur;1-0
1973-74;;;Kawkab Athlu00e9tique Club de Marrakech;Championnat;Exterieur;1-0
1973-74;;;Association Sportive de Salu00e9;Championnat;Exterieur;0-1
1973-74;;;Ittihad Zemmouri de Khu00e9misset;Championnat;Exterieur;0-2
1973-74;;;Ku00e9nitra Athletic Club;Championnat;Exterieur;2-1
1974-75;;;Mouloudia Club Oujda;Championnat;Exterieur;1-1
1974-75;;;Maghreb Association Sportive (Fu00e8s);Championnat;Exterieur;0-0
1974-75;;;Raja Club Athletic (Casablanca);Championnat;Exterieur;0-0
1974-75;;;Association Sportive de Salu00e9;Championnat;Exterieur;1-1
1974-75;;;Fath Union Sport (Rabat);Championnat;Exterieur;0-3
1974-75;;;Difaa Hassani Jadidi;Championnat;Exterieur;1-1
1974-75;;;Sporting Club Chabab de Mohammu00e9dia;Championnat;Exterieur;1-3
1974-75;;;Tihad Athlu00e9tique Sport (Casablanca);Championnat;Exterieur;1-1
1974-75;;;Mouloudia Club Oujda;Championnat;Domicile;1-0
1974-75;;;Maghreb Association Sportive (Fu00e8s);Championnat;Domicile;1-0
1974-75;;;Raja Club Athletic (Casablanca);Championnat;Domicile;1-1
1974-75;;;Association Sportive de Salu00e9;Championnat;Domicile;3-1
1974-75;;;Fath Union Sport (Rabat);Championnat;Domicile;0-2
1974-75;;;Difaa Hassani Jadidi;Championnat;Domicile;2-0
1974-75;;;Sporting Club Chabab de Mohammu00e9dia;Championnat;Domicile;2-0
1974-75;;;Tihad Athlu00e9tique Sport (Casablanca);Championnat;Domicile;1-1
1974-75;;;Renaissance Sportive de Settat;Championnat;Domicile;0-0
1974-75;;;Union Sidi Kacem;Championnat;Domicile;1-0
1974-75;;;AS Forces Armu00e9es Royales (Rabat);Championnat;Domicile;1-0
1974-75;;;Raja Beni Mellal;Championnat;Domicile;2-1
1974-75;;;Moghreb Athlu00e9tic de Tu00e9touan;Championnat;Domicile;0-0
1974-75;;;Raja Cercle Municipalitu00e9 d'Agadir;Championnat;Domicile;1-2
1974-75;;;Kawkab Athlu00e9tique Club de Marrakech;Championnat;Domicile;0-1
1974-75;;;Renaissance Sportive de Settat;Championnat;Exterieur;1-2
1974-75;;;Union Sidi Kacem;Championnat;Exterieur;1-0
1974-75;;;AS Forces Armu00e9es Royales (Rabat);Championnat;Exterieur;0-2
1974-75;;;Raja Beni Mellal;Championnat;Exterieur;2-0
1974-75;;;Moghreb Athlu00e9tic de Tu00e9touan;Championnat;Exterieur;1-1
1974-75;;;Raja Cercle Municipalitu00e9 d'Agadir;Championnat;Exterieur;1-1
1974-75;;;Kawkab Athlu00e9tique Club de Marrakech;Championnat;Exterieur;1-1
1975-76;;;Difaa Hassani Jadidi;Championnat;Domicile;2-0
1975-76;;;Raja Club Athletic (Casablanca);Championnat;Domicile;1-1
1975-76;;;Sporting Club Chabab de Mohammu00e9dia;Championnat;Domicile;2-1
1975-76;;;Fath Union Sport (Rabat);Championnat;Domicile;2-1
1975-76;;;Association Sportive de Salu00e9;Championnat;Domicile;3-0
1975-76;;;Maghreb Association Sportive (Fu00e8s);Championnat;Domicile;3-1
1975-76;;;Renaissance Sportive de Settat;Championnat;Domicile;4-1
1975-76;;;Tihad Athlu00e9tique Sport (Casablanca);Championnat;Domicile;5-1
1975-76;;;Club Omnisports de Meknu00e8s;Championnat;Domicile;3-0
1975-76;;;AS Forces Armu00e9es Royales (Rabat);Championnat;Domicile;3-0
1975-76;;;Mouloudia Club Oujda;Championnat;Domicile;3-0
1975-76;;;Union Sidi Kacem;Championnat;Domicile;3-1
1975-76;;;Moghreb Athlu00e9tic de Tu00e9touan;Championnat;Domicile;1-0
1975-76;;;Raja Beni Mellal;Championnat;Domicile;1-0
1975-76;;;Kawkab Athlu00e9tique Club de Marrakech;Championnat;Domicile;4-1
1975-76;;;Difaa Hassani Jadidi;Championnat;Exterieur;0-2
1975-76;;;Raja Club Athletic (Casablanca);Championnat;Exterieur;0-0
1975-76;;;Sporting Club Chabab de Mohammu00e9dia;Championnat;Exterieur;1-1
1975-76;;;Fath Union Sport (Rabat);Championnat;Exterieur;3-1
1975-76;;;Association Sportive de Salu00e9;Championnat;Exterieur;0-0
1975-76;;;Maghreb Association Sportive (Fu00e8s);Championnat;Exterieur;2-3
1975-76;;;Renaissance Sportive de Settat;Championnat;Exterieur;1-1
1975-76;;;Tihad Athlu00e9tique Sport (Casablanca);Championnat;Exterieur;2-1
1975-76;;;Club Omnisports de Meknu00e8s;Championnat;Exterieur;0-1
1975-76;;;AS Forces Armu00e9es Royales (Rabat);Championnat;Exterieur;0-0
1975-76;;;Mouloudia Club Oujda;Championnat;Exterieur;0-1
1975-76;;;Union Sidi Kacem;Championnat;Exterieur;1-1
1975-76;;;Moghreb Athlu00e9tic de Tu00e9touan;Championnat;Exterieur;1-1
1975-76;;;Raja Beni Mellal;Championnat;Exterieur;0-1
1975-76;;;Kawkab Athlu00e9tique Club de Marrakech;Championnat;Exterieur;1-0
1976-77;;;Ku00e9nitra Athlu00e9tic Club;Championnat;Domicile;3-1
1976-77;;;Mouloudia Club Oujda;Championnat;Domicile;0-0
1976-77;;;Raja Club Athletic (Casablanca);Championnat;Domicile;2-3
1976-77;;;Maghreb Association Sportive (Fu00e8s);Championnat;Domicile;1-0
1976-77;;;Association Sportive de Salu00e9;Championnat;Domicile;2-2
1976-77;;;AS Forces Armu00e9es Royales (Rabat);Championnat;Domicile;3-1
1976-77;;;Difaa Hassani Jadidi;Championnat;Domicile;2-1
1976-77;;;Fath Union Sport (Rabat);Championnat;Domicile;5-1
1976-77;;;Club Omnisports de Meknu00e8s;Championnat;Domicile;2-2
1976-77;;;Sporting Club Chabab de Mohammu00e9dia;Championnat;Domicile;3-1
1976-77;;;Renaissance Sportive de Settat;Championnat;Domicile;1-0
1976-77;;;Tihad Athlu00e9tique Sport (Casablanca);Championnat;Domicile;3-0
1976-77;;;u00c9toile Jeunesse Sportive Casablanca;Championnat;Domicile;3-1
1976-77;;;Union Sidi Kacem;Championnat;Domicile;4-1
1976-77;;;Moghreb Athlu00e9tic de Tu00e9touan;Championnat;Domicile;5-1
1976-77;;;Ku00e9nitra Athlu00e9tic Club;Championnat;Exterieur;0-1
1976-77;;;Mouloudia Club Oujda;Championnat;Exterieur;0-1
1976-77;;;Raja Club Athletic (Casablanca);Championnat;Exterieur;1-1
1976-77;;;Maghreb Association Sportive (Fu00e8s);Championnat;Exterieur;1-1
1976-77;;;Association Sportive de Salu00e9;Championnat;Exterieur;1-1
1976-77;;;AS Forces Armu00e9es Royales (Rabat);Championnat;Exterieur;0-2
1976-77;;;Difaa Hassani Jadidi;Championnat;Exterieur;2-1
1976-77;;;Fath Union Sport (Rabat);Championnat;Exterieur;0-0
1976-77;;;Club Omnisports de Meknu00e8s;Championnat;Exterieur;0-0
1976-77;;;Sporting Club Chabab de Mohammu00e9dia;Championnat;Exterieur;0-0
1976-77;;;Renaissance Sportive de Settat;Championnat;Exterieur;0-1
1976-77;;;Tihad Athlu00e9tique Sport (Casablanca);Championnat;Exterieur;3-1
1976-77;;;u00c9toile Jeunesse Sportive Casablanca;Championnat;Exterieur;2-1
1976-77;;;Union Sidi Kacem;Championnat;Exterieur;1-1
1976-77;;;Moghreb Athlu00e9tic de Tu00e9touan;Championnat;Exterieur;0-0
1977-78;;;Maghreb Association Sportive (Fu00e8s);Championnat;Domicile;2-2
1977-78;;;Sporting Club Chabab de Mohammu00e9dia;Championnat;Domicile;2-2
1977-78;;;Club Omnisports de Meknu00e8s;Championnat;Domicile;1-0
1977-78;;;Raja Club Athletic (Casablanca);Championnat;Domicile;1-1
1977-78;;;Ku00e9nitra Athlu00e9tic Club;Championnat;Domicile;2-1
1977-78;;;Association Sportive de Salu00e9;Championnat;Domicile;0-0
1977-78;;;Fath Union Sport (Rabat);Championnat;Domicile;1-0
1977-78;;;AS Forces Armu00e9es Royales (Rabat);Championnat;Domicile;1-0
1977-78;;;u00c9toile Jeunesse Sportive Casablanca;Championnat;Domicile;1-1
1977-78;;;Mouloudia Club Oujda;Championnat;Domicile;2-1
1977-78;;;Difaa Hassani Jadidi;Championnat;Domicile;3-0
1977-78;;;Raja Beni Mellal;Championnat;Domicile;3-0
1977-78;;;Renaissance Sportive de Settat;Championnat;Domicile;1-1
1977-78;;;Tihad Athlu00e9tique Sport (Casablanca);Championnat;Domicile;3-1
1977-78;;;Renaissance Sportive de Berkane;Championnat;Domicile;4-0
1977-78;;;Maghreb Association Sportive (Fu00e8s);Championnat;Exterieur;0-0
1977-78;;;Sporting Club Chabab de Mohammu00e9dia;Championnat;Exterieur;1-0
1977-78;;;Club Omnisports de Meknu00e8s;Championnat;Exterieur;1-0
1977-78;;;Raja Club Athletic (Casablanca);Championnat;Exterieur;2-2
1977-78;;;Ku00e9nitra Athlu00e9tic Club;Championnat;Exterieur;2-1
1977-78;;;Association Sportive de Salu00e9;Championnat;Exterieur;1-1
1977-78;;;Fath Union Sport (Rabat);Championnat;Exterieur;2-2
1977-78;;;AS Forces Armu00e9es Royales (Rabat);Championnat;Exterieur;1-1
1977-78;;;u00c9toile Jeunesse Sportive Casablanca;Championnat;Exterieur;1-0
1977-78;;;Mouloudia Club Oujda;Championnat;Exterieur;0-0
1977-78;;;Difaa Hassani Jadidi;Championnat;Exterieur;0-0
1977-78;;;Raja Beni Mellal;Championnat;Exterieur;0-2
1977-78;;;Renaissance Sportive de Settat;Championnat;Exterieur;1-0
1977-78;;;Tihad Athlu00e9tique Sport (Casablanca);Championnat;Exterieur;2-1
1977-78;;;Renaissance Sportive de Berkane;Championnat;Exterieur;1-0
1978-79;;;Maghreb Association Sportive (Fu00e8s);Championnat;Exterieur;1-3
1978-79;;;Ku00e9nitra Athlu00e9tic Club;Championnat;Exterieur;0-5
1978-79;;;Maghreb Association Sportive (Fu00e8s);Championnat;Domicile;1-0
1978-79;;;Ku00e9nitra Athlu00e9tic Club;Championnat;Domicile;3-1
1978-79;;;Mouloudia Club Oujda;Championnat;Domicile;3-1
1978-79;;;Association Sportive de Salu00e9;Championnat;Domicile;1-0
1978-79;;;Difaa Hassani Jadidi;Championnat;Domicile;1-1
1978-79;;;Fath Union Sport (Rabat);Championnat;Domicile;1-0
1978-79;;;Raja Beni Mellal;Championnat;Domicile;0-0
1978-79;;;AS Forces Armu00e9es Royales (Rabat);Championnat;Domicile;2-1
1978-79;;;Raja Club Athletic (Casablanca);Championnat;Domicile;0-0
1978-79;;;Club Omnisports de Meknu00e8s;Championnat;Domicile;2-1
1978-79;;;Sporting Club Chabab de Mohammu00e9dia;Championnat;Domicile;1-1
1978-79;;;Union Sidi Kacem;Championnat;Domicile;2-0
1978-79;;;u00c9toile Jeunesse Sportive Casablanca;Championnat;Domicile;1-1
1978-79;;;Kawkab Athlu00e9tique Club de Marrakech;Championnat;Domicile;3-0
1978-79;;;Renaissance Sportive de Settat;Championnat;Domicile;1-1
1978-79;;;Mouloudia Club Oujda;Championnat;Exterieur;3-4
1978-79;;;Association Sportive de Salu00e9;Championnat;Exterieur;0-2
1978-79;;;Difaa Hassani Jadidi;Championnat;Exterieur;1-0
1978-79;;;Fath Union Sport (Rabat);Championnat;Exterieur;0-0
1978-79;;;Raja Beni Mellal;Championnat;Exterieur;1-2
1978-79;;;AS Forces Armu00e9es Royales (Rabat);Championnat;Exterieur;0-0
1978-79;;;Raja Club Athletic (Casablanca);Championnat;Exterieur;1-0
1978-79;;;Club Omnisports de Meknu00e8s;Championnat;Exterieur;0-1
1978-79;;;Sporting Club Chabab de Mohammu00e9dia;Championnat;Exterieur;1-0
1978-79;;;Union Sidi Kacem;Championnat;Exterieur;0-0
1978-79;;;u00c9toile Jeunesse Sportive Casablanca;Championnat;Exterieur;2-0
1978-79;;;Kawkab Athlu00e9tique Club de Marrakech;Championnat;Exterieur;1-0
1978-79;;;Renaissance Sportive de Settat;Championnat;Exterieur;0-1
1979-80;;;Sporting Club Chabab de Mohammu00e9dia;Championnat;Exterieur;1-1
1979-80;;;Sporting Club Chabab de Mohammu00e9dia;Championnat;Domicile;2-0
1979-80;;;Union Sportive Mohammu00e9dia;Championnat;Domicile;0-0
1979-80;;;Fath Union Sport (Rabat);Championnat;Domicile;3-1
1979-80;;;Ku00e9nitra Athlu00e9tic Club;Championnat;Domicile;1-1
1979-80;;;Maghreb Association Sportive (Fu00e8s);Championnat;Domicile;2-1
1979-80;;;Mouloudia Club Oujda;Championnat;Domicile;4-1
1979-80;;;Raja Beni Mellal;Championnat;Domicile;4-1
1979-80;;;Raja Club Athletic (Casablanca);Championnat;Domicile;0-2
1979-80;;;Association Sportive de Salu00e9;Championnat;Domicile;0-0
1979-80;;;Difaa Hassani Jadidi;Championnat;Domicile;2-0
1979-80;;;AS Forces Armu00e9es Royales (Rabat);Championnat;Domicile;4-1
1979-80;;;Moghreb Athlu00e9tic de Tu00e9touan;Championnat;Domicile;2-1
1979-80;;;Club Omnisports de Meknu00e8s;Championnat;Domicile;1-1
1979-80;;;Union Sidi Kacem;Championnat;Domicile;0-0
1979-80;;;Kawkab Athlu00e9tique Club de Marrakech;Championnat;Domicile;1-1
1979-80;;;Union Sportive Mohammu00e9dia;Championnat;Exterieur;1-1
1979-80;;;Fath Union Sport (Rabat);Championnat;Exterieur;0-0
1979-80;;;Ku00e9nitra Athlu00e9tic Club;Championnat;Exterieur;1-1
1979-80;;;Maghreb Association Sportive (Fu00e8s);Championnat;Exterieur;0-1
1979-80;;;Mouloudia Club Oujda;Championnat;Exterieur;0-1
1979-80;;;Raja Beni Mellal;Championnat;Exterieur;1-1
1979-80;;;Raja Club Athletic (Casablanca);Championnat;Exterieur;2-1
1979-80;;;Association Sportive de Salu00e9;Championnat;Exterieur;1-3
1979-80;;;Difaa Hassani Jadidi;Championnat;Exterieur;0-0
1979-80;;;AS Forces Armu00e9es Royales (Rabat);Championnat;Exterieur;0-3
1979-80;;;Moghreb Athlu00e9tic de Tu00e9touan;Championnat;Exterieur;0-0
1979-80;;;Club Omnisports de Meknu00e8s;Championnat;Exterieur;1-0
1979-80;;;Union Sidi Kacem;Championnat;Exterieur;2-0
1979-80;;;Kawkab Athlu00e9tique Club de Marrakech;Championnat;Exterieur;2-1
1980-81;;;Ku00e9nitra Athlu00e9tic Club;Championnat;Exterieur;2-1
1980-81;;;Fath Union Sport (Rabat);Championnat;Exterieur;1-0
1980-81;;;Raja Club Athletic (Casablanca);Championnat;Exterieur;0-1
1980-81;;;Ku00e9nitra Athlu00e9tic Club;Championnat;Domicile;1-0
1980-81;;;Fath Union Sport (Rabat);Championnat;Domicile;0-0
1980-81;;;Raja Club Athletic (Casablanca);Championnat;Domicile;1-2
1980-81;;;COD;Championnat;Domicile;0-1
1980-81;;;Sporting Club Chabab de Mohammédia;Championnat;Domicile;2-0
1980-81;;;Mouloudia Club Oujda;Championnat;Domicile;3-1
1980-81;;;Renaissance Sportive de Settat;Championnat;Domicile;0-0
1980-81;;;AS Forces Armu00e9es Royales (Rabat);Championnat;Domicile;0-3
1980-81;;;Maghreb Association Sportive (Fu00e8s);Championnat;Domicile;3-0
1980-81;;;Difaa Hassani Jadidi;Championnat;Domicile;1-0
1980-81;;;Union Sportive Mohammu00e9dia;Championnat;Domicile;2-2
1980-81;;;Association Sportive de Salu00e9;Championnat;Domicile;3-1
1980-81;;;Ittihad Riadi Fkih Ben Salah;Championnat;Domicile;1-1
1980-81;;;Renaissance Sportive Berkane;Championnat;Domicile;0-1
1980-81;;;Union Sidi Kacem;Championnat;Domicile;2-0
1980-81;;;Mouloudia Club de Marrakech;Championnat;Domicile;1-0
1980-81;;;Raja Beni Mellal;Championnat;Domicile;4-2
1980-81;;;Moghreb Athlu00e9tic de Tu00e9touan;Championnat;Domicile;1-0
1980-81;;;Union Touarga Sport;Championnat;Domicile;1-0
1980-81;;;Club Omnisports de Meknu00e8s;Championnat;Exterieur;1-2
1980-81;;;Sporting Club Chabab de Mohammu00e9dia;Championnat;Exterieur;2-1
1980-81;;;Mouloudia Club Oujda;Championnat;Exterieur;0-1
1980-81;;;Renaissance Sportive de Settat;Championnat;Exterieur;0-0
1980-81;;;AS Forces Armu00e9es Royales (Rabat);Championnat;Exterieur;0-0
1980-81;;;Maghreb Association Sportive (Fu00e8s);Championnat;Exterieur;0-1
1980-81;;;Difaa Hassani Jadidi;Championnat;Exterieur;1-1
1980-81;;;Union Sportive Mohammu00e9dia;Championnat;Exterieur;0-1
1980-81;;;Association Sportive de Salu00e9;Championnat;Exterieur;1-1
1980-81;;;Ittihad Riadi Fkih Ben Salah;Championnat;Exterieur;1-2
1980-81;;;Renaissance Sportive Berkane;Championnat;Exterieur;1-2
1980-81;;;Union Sidi Kacem;Championnat;Exterieur;0-0
1980-81;;;Mouloudia Club de Marrakech;Championnat;Exterieur;2-0
1980-81;;;Raja Beni Mellal;Championnat;Exterieur;2-0
1980-81;;;Moghreb Athlu00e9tic de Tu00e9touan;Championnat;Exterieur;0-2
1980-81;;;Union Touarga Sport;Championnat;Exterieur;3-1
1981-82;;;Ku00e9nitra Athlu00e9tic Club;Championnat;Exterieur;1-4
1981-82;;;Ku00e9nitra Athlu00e9tic Club;Championnat;Domicile;4-0
1981-82;;;Fath Union Sport (Rabat);Championnat;Domicile;0-0
1981-82;;;Club Omnisports de Meknu00e8s;Championnat;Domicile;2-0
1981-82;;;Raja Club Athletic (Casablanca);Championnat;Domicile;1-0
1981-82;;;AS Forces Armu00e9es Royales (Rabat);Championnat;Domicile;2-2
1981-82;;;Difaa Hassani Jadidi;Championnat;Domicile;1-2
1981-82;;;Maghreb Association Sportive (Fu00e8s);Championnat;Domicile;0-1
1981-82;;;Renaissance Sportive Berkane;Championnat;Domicile;3-1
1981-82;;;Renaissance Sportive de Settat;Championnat;Domicile;2-0
1981-82;;;Renaissance Sportive de Ku00e9nitra;Championnat;Domicile;1-1
1981-82;;;Sporting Club Chabab de Mohammu00e9dia;Championnat;Domicile;1-2
1981-82;;;Ittihad Riadi Fkih Ben Salah;Championnat;Domicile;2-1
1981-82;;;Mouloudia Club Oujda;Championnat;Domicile;2-0
1981-82;;;Association Sportive de Salu00e9;Championnat;Domicile;4-0
1981-82;;;Union Sportive Mohammu00e9dia;Championnat;Domicile;4-2
1981-82;;;Union Sidi Kacem;Championnat;Domicile;1-0
1981-82;;;Hassania Union Sport d'Agadir;Championnat;Domicile;0-0
1981-82;;;Fath Union Sport (Rabat);Championnat;Exterieur;1-1
1981-82;;;Club Omnisports de Meknu00e8s;Championnat;Exterieur;0-2
1981-82;;;Raja Club Athletic (Casablanca);Championnat;Exterieur;0-0
1981-82;;;AS Forces Armu00e9es Royales (Rabat);Championnat;Exterieur;1-1
1981-82;;;Difaa Hassani Jadidi;Championnat;Exterieur;0-0
1981-82;;;Maghreb Association Sportive (Fu00e8s);Championnat;Exterieur;0-0
1981-82;;;Renaissance Sportive Berkane;Championnat;Exterieur;3-1
1981-82;;;Renaissance Sportive de Settat;Championnat;Exterieur;0-4
1981-82;;;Renaissance Sportive de Ku00e9nitra;Championnat;Exterieur;1-1
1981-82;;;Sporting Club Chabab de Mohammu00e9dia;Championnat;Exterieur;1-1
1981-82;;;Ittihad Riadi Fkih Ben Salah;Championnat;Exterieur;1-1
1981-82;;;Mouloudia Club Oujda;Championnat;Exterieur;0-0
1981-82;;;Association Sportive de Salu00e9;Championnat;Exterieur;1-0
1981-82;;;Union Sportive Mohammu00e9dia;Championnat;Exterieur;1-1
1981-82;;;Union Sidi Kacem;Championnat;Exterieur;1-3
1981-82;;;Hassania Union Sport d'Agadir;Championnat;Exterieur;0-0
1982-83;;;Maghreb Association Sportive (Fu00e8s);Championnat;Exterieur;0-1
1982-83;;;Renaissance Sportive Berkane;Championnat;Exterieur;0-0
1982-83;;;Maghreb Association Sportive (Fu00e8s);Championnat;Domicile;1-1
1982-83;;;Renaissance Sportive Berkane;Championnat;Domicile;0-0
1982-83;;;Club Omnisports de Meknu00e8s;Championnat;Domicile;1-1
1982-83;;;Raja Club Athletic (Casablanca);Championnat;Domicile;0-0
1982-83;;;Ku00e9nitra Athlu00e9tic Club;Championnat;Domicile;0-0
1982-83;;;AS Forces Armu00e9es Royales (Rabat);Championnat;Domicile;1-0
1982-83;;;Fath Union Sport (Rabat);Championnat;Domicile;2-0
