Saison;DateMatch;Journee;Equipe;Competition;Lieu;Score
1958-59;;;Rachad de Meknes;Championnat;Exterieur;1-1
1959-60;;;Kenitra Athletic Club;Championnat;Exterieur;0-0
1959-60;;;Forces Armees Royales;Championnat;Exterieur;0-0
1959-60;;;Raja Club Athletic;Championnat;Exterieur;1-2
1959-60;;;Kenitra Athletic Club;Championnat;Domicile;1-2
1959-60;;;Forces Armees Royales;Championnat;Domicile;1-1
1959-60;;;Raja Club Athletic;Championnat;Domicile;0-0
1959-60;;;Fath Union Sport;Championnat;Domicile;1-1
1959-60;;;Mouloudia Club Oujda;Championnat;Domicile;2-1
1959-60;;;Maghreb Association Sportive;Championnat;Domicile;2-1
1959-60;;;Racing Athletic Club;Championnat;Domicile;3-0
1959-60;;;Kawkab Athletic Club de Marrakech;Championnat;Domicile;1-1
1959-60;;;Chabab Larache;Championnat;Domicile;3-1
1959-60;;;Etoile Jeunesse Sportive Casablanca;Championnat;Domicile;3-1
1959-60;;;Stade Marocain;Championnat;Domicile;2-0
1959-60;;;Difaa Hassani Jadidi;Championnat;Domicile;3-0
1959-60;;;Fath Union Sport;Championnat;Exterieur;0-0
1959-60;;;Mouloudia Club Oujda;Championnat;Exterieur;1-0
1959-60;;;Maghreb Association Sportive;Championnat;Exterieur;0-0
1959-60;;;Racing Athletic Club;Championnat;Exterieur;0-2
1959-60;;;Kawkab Athletic Club de Marrakech;Championnat;Exterieur;0-4
1959-60;;;Chabab Larache;Championnat;Exterieur;2-3
1959-60;;;Etoile Jeunesse Sportive Casablanca;Championnat;Exterieur;1-0
1959-60;;;Stade Marocain;Championnat;Exterieur;1-0
1959-60;;;Difaa Hassani Jadidi;Championnat;Exterieur;0-0
1959-60;;;Hassania Union Sport Agadir;Championnat;Exterieur;2-1
1960-61;;;Forces Armees Royales;Championnat;Exterieur;0-1
1960-61;;;Maghreb Association Sportive;Championnat;Exterieur;0-0
1960-61;;;Kawkab Athletic Club de Marrakech;Championnat;Exterieur;0-1
1960-61;;;Mouloudia Club Oujda;Championnat;Exterieur;1-0
1960-61;;;Raja Club Athletic;Championnat;Exterieur;0-2
1960-61;;;Racing Athletic Club;Championnat;Exterieur;1-2
1960-61;;;Forces Armees Royales;Championnat;Domicile;1-1
